session_id,survey_id,annotator_id,evaluator_gender,evaluator_age,clip_id,display_order,speaker_id,speaker_sex,sentence_num,model_name,is_cloned,humanlike,customer_service,native_english,authoritative,warm,trust,intimate_convo
session_023,survey_175,annotator_051,Woman,,clip_0436,8,speaker_050,Female,9,elevenlabs,1,5,4,5,4,4,4,4
session_026,survey_073,annotator_173,Man,,clip_1632,4,speaker_085,Male,3,coqui_xtts,0,1,1,2,1,1,1,1
session_023,survey_175,annotator_051,Woman,,clip_0535,9,speaker_069,Female,2,elevenlabs,0,4,4,5,4,4,4,4
session_026,survey_073,annotator_173,Man,,clip_1360,5,speaker_036,Male,3,coqui_xtts,0,2,1,1,1,2,1,1
session_024,survey_017,annotator_150,Woman,,clip_0061,3,speaker_008,Male,4,elevenlabs,0,4,4,1,1,1,1,1
session_023,survey_175,annotator_051,Woman,,clip_1664,10,speaker_027,Female,1,elevenlabs,0,4,4,5,4,4,4,4
session_026,survey_073,annotator_173,Man,,clip_1213,6,speaker_015,Male,7,coqui_xtts,1,2,1,2,1,3,1,1
session_026,survey_073,annotator_173,Man,,clip_1842,7,speaker_065,Male,6,coqui_xtts,0,4,1,1,1,3,2,1
session_023,survey_175,annotator_051,Woman,,clip_0214,12,speaker_028,Female,3,elevenlabs,1,5,4,5,4,4,4,4
session_023,survey_175,annotator_051,Woman,,clip_1768,13,speaker_012,Female,4,elevenlabs,0,3,3,4,4,3,3,3
session_026,survey_073,annotator_173,Man,,clip_1367,9,speaker_036,Male,8,coqui_xtts,1,3,1,2,1,2,2,1
session_024,survey_017,annotator_150,Woman,,clip_0090,6,speaker_011,Male,7,elevenlabs,1,3,1,5,1,2,2,2
session_026,survey_073,annotator_173,Man,,clip_1224,10,speaker_016,Male,5,coqui_xtts,0,1,1,2,2,2,1,1
session_026,survey_073,annotator_173,Man,,clip_1212,11,speaker_015,Male,7,coqui_xtts,0,2,1,1,1,1,1,1
session_024,survey_017,annotator_150,Woman,,clip_0041,7,speaker_005,Male,4,elevenlabs,0,2,1,2,1,1,1,1
session_023,survey_175,annotator_051,Woman,,clip_0420,17,speaker_049,Female,9,elevenlabs,1,5,4,5,4,4,4,4
session_026,survey_073,annotator_173,Man,,clip_1343,13,speaker_033,Male,8,coqui_xtts,1,3,2,1,2,1,1,1
session_023,survey_175,annotator_051,Woman,,clip_0435,18,speaker_050,Female,9,elevenlabs,0,2,3,1,2,3,2,2
session_024,survey_017,annotator_150,Woman,,clip_0235,9,speaker_030,Male,5,elevenlabs,0,4,1,4,1,1,1,1
session_026,survey_073,annotator_173,Man,,clip_2184,15,speaker_065,Male,6,coqui_xtts,1,2,2,3,1,1,1,1
session_024,survey_017,annotator_150,Woman,,clip_0263,10,speaker_033,Male,5,elevenlabs,0,5,5,1,1,1,3,1
session_023,survey_175,annotator_051,Woman,,clip_0140,20,speaker_017,Female,5,elevenlabs,1,4,3,2,4,4,3,4
session_026,survey_073,annotator_173,Man,,clip_1361,18,speaker_036,Male,3,coqui_xtts,1,1,1,1,1,1,1,1
session_026,survey_073,annotator_173,Man,,clip_1770,19,speaker_019,Male,4,coqui_xtts,0,3,1,2,3,2,1,1
session_026,survey_073,annotator_173,Man,,clip_1503,20,speaker_058,Male,9,coqui_xtts,1,1,1,2,1,1,1,1
session_024,survey_017,annotator_150,Woman,,clip_2035,13,speaker_075,Male,6,elevenlabs,1,5,1,5,1,3,2,2
session_024,survey_017,annotator_150,Woman,,clip_1848,15,speaker_075,Male,6,elevenlabs,0,5,5,1,1,1,2,1
session_024,survey_017,annotator_150,Woman,,clip_1862,17,speaker_038,Male,7,elevenlabs,0,4,1,4,1,2,2,2
session_024,survey_017,annotator_150,Woman,,clip_0117,18,speaker_015,Male,7,elevenlabs,0,5,5,1,1,1,2,1
session_024,survey_017,annotator_150,Woman,,clip_0311,20,speaker_037,Male,1,elevenlabs,0,5,1,5,1,3,2,2
session_004,survey_182,annotator_072,Woman,,clip_0603,2,speaker_002,Male,2,chatterbox,0,4,1,5,1,2,1,1
session_009,survey_060,annotator_080,Man,,clip_0970,20,speaker_059,Male,3,chatterbox,0,1,1,2,2,1,2,1
session_002,survey_130,annotator_057,Woman,,clip_0833,10,speaker_039,Female,8,chatterbox,1,3,3,5,2,2,3,1
session_003,survey_225,annotator_149,Woman,,clip_2097,8,speaker_068,Female,2,chatterbox,1,3,4,5,4,1,2,2
session_004,survey_182,annotator_072,Woman,,clip_0763,3,speaker_029,Male,4,chatterbox,1,5,2,5,2,1,1,1
session_007,survey_097,annotator_068,Woman,,clip_2214,2,speaker_079,Female,9,coqui_xtts,1,3,3,3,3,2,3,2
session_009,survey_060,annotator_080,Man,,clip_1096,1,speaker_086,Male,8,chatterbox,1,2,1,2,3,1,1,1
session_002,survey_130,annotator_057,Woman,,clip_0832,13,speaker_039,Female,8,chatterbox,0,5,2,1,1,3,2,1
session_007,survey_097,annotator_068,Woman,,clip_2171,3,speaker_055,Female,2,coqui_xtts,1,3,2,2,2,2,2,2
session_002,survey_130,annotator_057,Woman,,clip_0941,14,speaker_056,Female,9,chatterbox,1,5,2,5,1,3,3,1
session_011,survey_223,annotator_151,Man,,clip_1385,1,speaker_040,Female,2,coqui_xtts,1,3,2,4,3,2,2,1
session_012,survey_173,annotator_065,Woman,,clip_0115,11,speaker_015,Male,5,elevenlabs,0,2,2,1,2,1,1,1
session_001,survey_088,annotator_165,Man,,clip_0708,6,speaker_018,Male,6,chatterbox,0,2,1,3,1,1,1,1
session_009,survey_060,annotator_080,Man,,clip_0605,2,speaker_002,Male,6,chatterbox,0,2,2,2,1,3,2,1
session_004,survey_182,annotator_072,Woman,,clip_1088,5,speaker_085,Male,7,chatterbox,0,1,1,4,3,1,1,1
session_001,survey_088,annotator_165,Man,,clip_1888,7,speaker_038,Male,8,chatterbox,0,1,1,1,1,1,1,1
session_010,survey_220,annotator_118,Man,,clip_0666,2,speaker_011,Male,8,chatterbox,1,4,4,3,2,4,2,4
session_011,survey_223,annotator_151,Man,,clip_1670,2,speaker_041,Female,1,coqui_xtts,0,4,2,1,1,3,2,2
session_009,survey_060,annotator_080,Man,,clip_0816,3,speaker_036,Male,4,chatterbox,0,1,1,4,1,3,1,2
session_010,survey_220,annotator_118,Man,,clip_1929,3,speaker_067,Male,9,chatterbox,0,3,2,2,4,3,3,2
session_006,survey_192,annotator_055,Woman,,clip_0541,4,speaker_069,Female,7,elevenlabs,0,1,1,4,1,4,2,1
session_011,survey_223,annotator_151,Man,,clip_1236,3,speaker_017,Female,7,coqui_xtts,0,5,2,1,2,1,2,1
session_002,survey_130,annotator_057,Woman,,clip_0898,17,speaker_049,Female,2,chatterbox,0,5,3,5,1,4,3,2
session_006,survey_192,annotator_055,Woman,,clip_0386,5,speaker_046,Female,6,elevenlabs,1,2,4,1,1,1,1,1
session_009,survey_060,annotator_080,Man,,clip_0896,4,speaker_048,Male,8,chatterbox,0,4,2,3,1,2,1,1
session_004,survey_182,annotator_072,Woman,,clip_0605,6,speaker_002,Male,6,chatterbox,0,3,1,3,2,1,1,1
session_011,survey_223,annotator_151,Man,,clip_1527,4,speaker_064,Female,6,coqui_xtts,1,5,4,5,2,3,3,2
session_002,survey_130,annotator_057,Woman,,clip_0755,19,speaker_028,Female,6,chatterbox,1,5,3,5,2,3,3,1
session_003,survey_225,annotator_149,Woman,,clip_2100,15,speaker_068,Female,7,chatterbox,1,5,4,5,3,4,4,3
session_011,survey_223,annotator_151,Man,,clip_1726,5,speaker_077,Female,2,coqui_xtts,0,4,2,1,2,2,1,1
session_006,survey_192,annotator_055,Woman,,clip_0542,7,speaker_069,Female,7,elevenlabs,1,4,1,5,1,5,3,4
session_012,survey_173,annotator_065,Woman,,clip_0266,1,speaker_033,Male,7,elevenlabs,1,2,1,2,2,1,2,1
session_011,survey_223,annotator_151,Man,,clip_2205,7,speaker_077,Female,2,coqui_xtts,1,2,2,3,1,1,2,1
session_011,survey_223,annotator_151,Man,,clip_1706,8,speaker_041,Female,2,coqui_xtts,0,4,5,5,2,3,3,2
session_012,survey_173,annotator_065,Woman,,clip_1875,4,speaker_075,Male,7,elevenlabs,0,1,1,1,1,1,1,1
session_012,survey_173,annotator_065,Woman,,clip_0412,5,speaker_048,Male,1,elevenlabs,1,2,2,3,3,2,3,2
session_012,survey_173,annotator_065,Woman,,clip_0116,7,speaker_015,Male,5,elevenlabs,1,2,2,1,2,1,2,1
session_012,survey_173,annotator_065,Woman,,clip_0265,9,speaker_033,Male,7,elevenlabs,0,1,1,1,1,1,1,1
session_012,survey_173,annotator_065,Woman,,clip_0275,10,speaker_034,Male,4,elevenlabs,0,1,1,1,1,1,1,1
session_011,survey_223,annotator_151,Man,,clip_1384,10,speaker_040,Female,2,coqui_xtts,0,2,1,1,2,2,2,2
session_011,survey_223,annotator_151,Man,,clip_1580,11,speaker_078,Female,2,coqui_xtts,0,2,4,2,1,2,2,1
session_010,survey_220,annotator_118,Man,,clip_0613,4,speaker_003,Male,4,chatterbox,0,3,2,3,4,3,4,3
session_012,survey_173,annotator_065,Woman,,clip_0083,14,speaker_010,Male,7,elevenlabs,0,1,1,2,2,1,1,1
session_010,survey_220,annotator_118,Man,,clip_0950,5,speaker_057,Male,7,chatterbox,0,4,3,2,4,3,4,3
session_011,survey_223,annotator_151,Man,,clip_2165,13,speaker_051,Female,1,coqui_xtts,1,3,3,4,2,2,1,1
session_012,survey_173,annotator_065,Woman,,clip_2036,16,speaker_075,Male,7,elevenlabs,1,2,2,1,1,1,1,1
session_010,survey_220,annotator_118,Man,,clip_0785,7,speaker_032,Male,6,chatterbox,1,4,3,2,4,3,4,3
session_012,survey_173,annotator_065,Woman,,clip_1974,17,speaker_035,Male,5,elevenlabs,1,3,3,4,2,2,2,2
session_011,survey_223,annotator_151,Man,,clip_1547,15,speaker_070,Female,5,coqui_xtts,1,5,4,5,2,3,3,2
session_010,survey_220,annotator_118,Man,,clip_0681,8,speaker_015,Male,4,chatterbox,0,4,3,4,4,3,4,3
session_011,survey_223,annotator_151,Man,,clip_1458,16,speaker_052,Female,2,coqui_xtts,0,5,4,4,2,3,3,2
session_011,survey_223,annotator_151,Man,,clip_1237,17,speaker_017,Female,7,coqui_xtts,1,5,5,5,1,4,4,4
session_011,survey_223,annotator_151,Man,,clip_1581,18,speaker_078,Female,2,coqui_xtts,1,2,2,1,2,1,1,1
session_011,survey_223,annotator_151,Man,,clip_2160,19,speaker_041,Female,2,coqui_xtts,1,4,3,4,3,3,2,1
session_010,survey_220,annotator_118,Man,,clip_0784,11,speaker_032,Male,6,chatterbox,0,2,3,4,3,2,3,2
session_009,survey_060,annotator_080,Man,,clip_0971,6,speaker_059,Male,3,chatterbox,1,3,3,4,2,3,3,1
session_009,survey_060,annotator_080,Man,,clip_0794,7,speaker_033,Male,3,chatterbox,0,2,2,3,3,1,1,1
session_010,survey_220,annotator_118,Man,,clip_1755,14,speaker_065,Male,3,chatterbox,0,4,3,2,4,3,3,4
session_009,survey_060,annotator_080,Man,,clip_0817,8,speaker_036,Male,4,chatterbox,1,4,3,3,1,4,2,3
session_010,survey_220,annotator_118,Man,,clip_0682,16,speaker_015,Male,4,chatterbox,1,3,2,1,1,2,2,3
session_010,survey_220,annotator_118,Man,,clip_2087,17,speaker_065,Male,3,chatterbox,1,2,3,2,1,3,4,3
session_009,survey_060,annotator_080,Man,,clip_1095,10,speaker_086,Male,8,chatterbox,0,1,2,3,1,3,2,2
session_010,survey_220,annotator_118,Man,,clip_0683,19,speaker_015,Male,5,chatterbox,0,4,3,2,4,3,3,4
session_009,survey_060,annotator_080,Man,,clip_0814,11,speaker_036,Male,3,chatterbox,0,1,1,2,1,3,1,2
session_009,survey_060,annotator_080,Man,,clip_0789,13,speaker_032,Male,8,chatterbox,1,4,2,4,1,2,3,2
session_009,survey_060,annotator_080,Man,,clip_0795,15,speaker_033,Male,3,chatterbox,1,1,1,3,2,2,1,1
session_009,survey_060,annotator_080,Man,,clip_0815,16,speaker_036,Male,3,chatterbox,1,4,4,4,1,4,2,3
session_009,survey_060,annotator_080,Man,,clip_0661,18,speaker_011,Male,3,chatterbox,0,3,4,4,2,2,3,2
session_016,survey_020,annotator_035,Woman,,clip_2185,20,speaker_065,Male,8,coqui_xtts,1,5,4,5,4,3,4,4
session_022,survey_147,annotator_120,Man,,clip_1827,1,speaker_020,Female,6,coqui_xtts,0,4,3,2,3,2,3,4
session_022,survey_147,annotator_120,Man,,clip_1522,2,speaker_064,Female,3,coqui_xtts,0,3,3,2,1,2,3,3
session_022,survey_147,annotator_120,Man,,clip_2137,3,speaker_020,Female,6,coqui_xtts,1,2,1,2,2,3,3,2
